id,group,name,level,label,detail
buf,1,Black United Front,1,BUF,"Boston's Black United From formed just days after the assassination of MLK, as part of a national movement uniting black civil rights groups together. Though the Front was focused on tackling relevant social issues as a whole, much of its early energy was dedicated to a project called Operation STOP, focusing on opposing the highways and improving black residents' living conditions. The Front united with some local Black groups and clashed with others (including the Black Panthers), but overall the groups came together to fight the highways."
ostop,1,Operation STOP,2,STOP,"Operation STOP was a subcommittee within the Black United Front focused on opposing the highways and improving the living conditions of black residents. Operation STOP and its members were a part of the Greater Boston Committee on Transportion, playing a large role in operations and protests. Operation STOP also spearheaded grassroots efforts to plan and rebuild the Southwest Corridor Park."
uleague,1,Urban League,1,Urban,"The Urban League, an organization focused on increasing black employment and overcoming racial and economic inequities, acted as a convener among communities along the Southwest Corridor during the height of the anti-highway movement."
panther,1,Black Panther Party,1,Panther,"Not all black rights groups joined in with the Black United Front in this time period, disagreeing with organizing methods and visions; one such group was the Boston chapter of the Black Panther Party, with a black nationalist platform. However, the Front and the Black Panthers did unite in their stance against the expressways going through black neighborhoods. "
women,2,League of Women Voters,1,L. of Women,"The Boston chapter of the League of Women Voters set up a transportation committee to evaluate the Inner Belt, headed by Ann Hershfang. In this committee, Hershfang, with the help of another member Ila Cooper, came to a position against the highways, and went on to propose to the Massachusetts State League that the state convention should also conduct a study of the transportation system; the proposal was accepted and conducted."
sierra,2,Sierra Club,1,Sierra,"Since the highways were planned to go through several natural and conservation sites, the Sierra Club played a role in gathering environmentalists and conservationists to join the cause, leading to politicians who cared about conservation to side with the anti-highway movement."
bromley,3,Bromley Heath TMC,1,Bromley Heath,"The quality of Bromley Heath, a public housing complex, was deteriorating with the decline of federal public housing funding in the 1960s. In 1971, the residents of Bromley Heath incorporated into an independent non-profit as Bromley Heath's Tenant Management Corporation (TMC). The TMC actively participated in the post-highway planning process of the corridor, creating a basketball court, amphitheater, and running and bike trails."
alice,3,Alice Taylor Public Housing Development,1,Alice Taylor,Residents of Alice Taylor Public Housing Development were involved in the rebuilding and revitalization of the Southwest Corridor.
mhep,3,Mission Hill Extension Project,1,Mission Hill,Residents of Mission Hill Extension Project were involved in the rebuilding and revitalization of the Southwest Corridor.
church,4,Churches,1,Church,"Churches and priests were effective community organizers in the anti-highway fight. Catholic priest Father Paul McManus was a major part of the Inner Belt protest in Cambridge, and served on the citizens' advisory committee when Governor Volpe ordered a restudy of Inner Belt routes in 1966. Father Thomas Corrigan was active in Jamaica Plain in its protest against the Southwest Expressway."
mit,4,MIT,1,MIT,"Though MIT as a whole was at first largely ambivalent about the Inner Belt, the administration became involved when one of the proposed routes, though less damaging to the residents of Cambridge than other routes, risked disrupting institute labs and property. By May of 1967, opposition of the highway had spread within the universities of Cambridge, and 528 faculty and staff from Harvard and MIT released a statement opposing the Inner Belt and calling for a complete restudy of Boston's transportation system."
harv,4,Harvard,1,Harvard,"In May of 1967, opposition of the highway had spread within the universities of Cambridge, and 528 faculty and staff from Harvard and MIT released a statement opposing the Inner Belt and calling for a complete restudy of Boston's transportation system."
upa,4,Urban Planning Aid,1,UPA,"Urban Planning Aid was formed in 1966 by a group of advocate-planners (Salvucci, Lee, Fellman, Hartman, Blackett, and Goodman) in Cambridge to provide a technical planning basis for analyzing and protesting the Inner Belt, as well as advocating for fair housing. The founding group first called themselves the Cambridge Committee on the Inner Belt. In early 1966, Jim Morey, an analyst turned advocate, joined the group and became the executive director of the organization rebranded as Urban Planning Aid, now focused on technical advocacy for the whole Boston region."
ccib,4,Cambridge Committee on the Inner Belt,2,CCIB,"The seeds of the Cambridge Committee on the Inner Belt started when Fred Salvucci began working at the Boston Redevelopment Authority in 1963 and realized, with his fellow planner Tunney Lee, that the Inner Belt engineering study was biased towards a pro-highway stance. They started conducting studies themselves, and by 1964 joined with sociologist Gordon Fellman, Harvard assistant professor of city planning Chester Hartman, and architects Denis Blackett and Robert Goodman to propose alternate highway routes to the City of Cambridge. The group eventually expanded into Urban Planning Aid."
socc,5,Save Our Cities Committee,2,SOCC,"The Cambridge residents whose lives would have been disrupted by the construction of the Inner Belt organized under the Save Our Cities Committee. The committee worked closely with the Catholic Church, gaining support and members. On October 15, 1966, the committee organized the “Beat the Belt” rally in front of the State House, the first of many similar protests."
jpec,5,Jamaica Plain Expressway Committee,2,JP Comm,"Jamaica Plain residents, after learning about the Southwest Expressway and enlisting the help of Jim Morey, organized as the Jamaica Plain Expressway Committee. The group fought against the elevated highway, first calling for a depressed highway, then calling for none at all. They conducted their own study of highway alternatives, presented these findings around Boston, and lobbied for the support of the Boston City Council."
tapc,5,Tubman Area Planning Council,2,Tubman Council,"In the South End, residents, including Ann Hershfang and architect Ken Kruckemeyer, organized as the Tubman Area Planning Council to study the highway and call for alternatives. The council facilitated residents coming together to lobby and protest."
gbc,5,Greater Boston Committee on the Transportation Crisis,2,GBC,"In 1968, Jim Morey set up the Greater Boston Committee on the Transportation Crisis (GBC) as an umbrella organization for the local advocacy groups, plus the Black United Front and Operation STOP, with the People Before Highways rally on January 25, 1969 as its first large action. The GBC was active at both the public and internal-government levels."
